Company_Name,RFP_ID
Saudi Electricity Company,SEC RFP-C001718985
Saudi Electricity Company,SEC RFP C001726433
Saudi Electricity Company,SEC RFPC001738240
Saudi Electricity Company,SEC RFP-C001674832
Saudi Electricity Company,SEC RFP-C001666475
Saudi Electricity Company,SEC RFP-C001657554
Saudi Electricity Company,SEC RFP-C001708448
Saudi Electricity Company,SEC RFP-C001663504
Saudi Electricity Company,SEC RFP-C001675367
Saudi Electricity Company,SEC RFP C001666464
Saudi Electricity Company,SEC RFP-6001676365
Saudi Electricity Company,SEC RFP-C001666474
Saudi Electricity Company,SEC RFP C001665255
Saudi Electricity Company,SEC RFP-C001671196
Saudi Electricity Company,SEC RFP-C00167634
Saudi Electricity Company,SEC RFP- C001672882 - 6001672882
Saudi Electricity Company,SEC RFP-C001677268
Saudi Electricity Company,SEC RFP-C001663438
Saudi Electricity Company,SEC RFP-C001665625
Saudi Electricity Company,SEC RFP-C001676354
Saudi Electricity Company,SEC RFP- C001664725 - 6001664725
Saudi Electricity Company,SEC RFP - C001671242
Saudi Electricity Company,SEC RFP-C001661956
Saudi Electricity Company,SEC RFP- C001667493
Saudi Electricity Company,SEC RFP-C001670564
Saudi Electricity Company,SEC RFP-C001693420
Saudi Electricity Company,SEC RFP-C001666473
Saudi Electricity Company,SEC RFP-C001678948
Saudi Electricity Company,SEC RFP-C001666477
Saudi Electricity Company,SEC RFP-C001674796
Saudi Electricity Company,SEC RFP-C001669010
Saudi Electricity Company,SEC RFP-C001666385
Saudi Electricity Company,SEC RFPC001669579
Saudi Electricity Company,SEC RFP-C001672888 - 6001672888
Saudi Electricity Company,SEC RFP-C001671222
Saudi Electricity Company,SEC RFP-C001669576
Saudi Electricity Company,SEC RFP-C001675410
Saudi Electricity Company,SEC RFP-C001670562
Saudi Electricity Company,SEC RFP-C001665985
Saudi Electricity Company,SEC RFP-C001669626
Saudi Electricity Company,SEC RFP-C001665266
Saudi Electricity Company,SEC RFP- C001668204 - 6001668204
Saudi Electricity Company,SEC RFP-C001681039 - 6001681039
Saudi Electricity Company,SEC RFP-C001663389
Saudi Electricity Company,SEC RFP-C001676358
Saudi Electricity Company,SEC RFP- C001678253
Saudi Electricity Company,SEC RFP-C001673566
Saudi Electricity Company,SEC RFP- C001675392 - 6001675392
Saudi Electricity Company,SEC RFP-C001660884
Saudi Electricity Company,SEC RFP-C001669001
Saudi Electricity Company,SEC RFP-C001664769
Saudi Electricity Company,SEC RFP-C001669052 - 6001669052
Saudi Electricity Company,SEC RFP-C001675391 - 6001675391
Saudi Electricity Company,SEC RFP-C001669607 - 6001669607
Saudi Electricity Company,SEC RFP - C001659822
Saudi Electricity Company,SEC RFP-C001733694
Saudi Electricity Company,SEC RFP-C001738255
Saudi Electricity Company,SEC RFP C001739759
Saudi Electricity Company,SEC RFP- C001738316 - 6001738316
Aramco e-Marketplace,"Aramco_4203238337_CABLE, POWER, 5KV THROUGH 35 KV"
Aramco e-Marketplace,"Aramco_4203238879_WIRE,ELEC 331MM2 (12 AWG) WHITE - 600V"
Aramco e-Marketplace,Aramco_4203238423_CABLE; ELECTRICAL; SUBMERSIBLE PUMP;
Aramco e-Marketplace,"Aramco_4203238889_CABLE ELECTRICAL, 300 500V, 3, STRANDED,"
Aramco e-Marketplace,Aramco_4203238594_WIRE; ELECTRICAL; BUILDING; IEC OR NEC U
Aramco e-Marketplace,"Aramco_4203238896_CABLE, POWER, 5KV THROUGH 35 KV"
