Material,Material Description,Sales department Email,Technical Department Email,Unnamed: 4,SourceFile,RFP_Title,RFP_End_Date,TDS_file_path,RowNumber,ColumnName,ExtractedMaterial,Name,Currency,* Manufacturer Part Number,Material Code,* Country of Origin,Comment,Monthly Delivery Quantity,MatchMethod,Reason for not bidding,* Manufacturer Name,Material PO Text,* Delivery time (in Days),Production Capacity Per Month
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738232.xls,RFQ - C001738232,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/905516024/RFQ - C001738232/TDS-files,7,Name,905516024,"10    905516024          STRUCTURE,SURGE ARRESTER,...",SAR,,"905516024 10    905516024          STRUCTURE,SURGE ARRESTER,GSTL",,,,,,,,,
908202044,"PLATE,EARTHWIRE SPRT,GS,64MM WDX40MM DP",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/904205931/RFQ - C001738317/TDS-files,9,Name,904205931,"30    904205931          ROPE,WIRE,212 KN,18 MM DI...",SAR,,"904205931 30    904205931          ROPE,WIRE,212 KN,18 MM DIA,800 M LG,#FUX",,,,,,,,,
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/905712638/RFQ - C001738317/TDS-files,19,Name,905712638,"130   905712638          TAPE,ELEC,VINYL PLASTIC,1...",SAR,,"905712638 130   905712638          TAPE,ELEC,VINYL PLASTIC,11 KV,#88T36FT",,,,,,,,,
905902283,"CABLE, PWR, 600V/1KV, CU, 1C, 35MM2, XLPE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,908111001.0,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/905924229/RFQ - C001738317/TDS-files,25,Name,905924229,"190   905924229          TAPE,ELEC,VINYL PLASTIC,2...",SAR,,"905924229 190   905924229          TAPE,ELEC,VINYL PLASTIC,2500 VAC,#3706WH",,,,,,,,,
908423001,"BOX,M,4CUST,150A,380V,INDR,400X230X1900",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/909100352/RFQ - C001738317/TDS-files,26,Name,909100352,"200   909100352          TESTER:ELECTRICAL,WET/DRY...",SAR,,"909100352 200   909100352          TESTER:ELECTRICAL,WET/DRY HOT STICK,230",,,,,,,,,
908327004,"SWGR,RMU,ODTR,NE,2LBS+1CB,33KV,3 P,60HZ",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/909104018/RFQ - C001738317/TDS-files,27,Name,909104018,"210   909104018          GRINDER,ELEC,18 V LI,4,60...",SAR,,"909104018 210   909104018          GRINDER,ELEC,18 V LI,4,60HZ,10,000 RPM",,,,,,,,,
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/909104245/RFQ - C001738317/TDS-files,28,Name,909104245,"220   909104245          GRIP,CABLE/WIRE,ACSR/STL,...",SAR,,"909104245 220   909104245          GRIP,CABLE/WIRE,ACSR/STL,#162830T",,,,,,,,,
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/909104246/RFQ - C001738317/TDS-files,29,Name,909104246,"230   909104246          GRIP,CABLE/WIRE,ACSR/STL,...",SAR,,"909104246 230   909104246          GRIP,CABLE/WIRE,ACSR/STL,#162840W",,,,,,,,,
908202069,"THIMBLE,GUY,GS,50X22X80X3MM,8MM RAD",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/909205700/RFQ - C001738317/TDS-files,35,Name,909205700,"290   909205700          WIRE,GUY,STEEL WIRE,212KN...",SAR,,"909205700 290   909205700          WIRE,GUY,STEEL WIRE,212KN,12MM DIA,#316G",,,,,,,,,
909205896,,,,,RFQ - C001738317.xls,RFQ - C001738317,02/15/2026 02:15 AM,RFP-logs/ALLRFPs/909205896/RFQ - C001738317/TDS-files,36,Name,909205896,"300   909205896          BINOCULARS,ZEIZZ,POWERLES...",SAR,,"909205896 300   909205896          BINOCULARS,ZEIZZ,POWERLESS",,,,keyword,,,,,
