RFP_ID,Company_Name,Link,Owner,Publish_Date,End_Date,Event_Type,Status,Participated,Description,Note,,,
"Aramco_4203238675_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPVMpu6u&awcharset=UTF-8,Saudi Aramco - Third Party Compliance Group,05/02/2019 09:23 AM,03/03/2026 03:30 PM,Survey,,No,,,,5,1
Aramco_4202842210,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPaKcKtM&awcharset=UTF-8,"Muhaisin, Hind",09/04/2019 04:00 PM,08/29/2019 06:30 PM,RFP,,No,,,,3,6
Aramco_4202891056,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPeAGOUx&awcharset=UTF-8,"Muhaisin, Hind",12/04/2019 09:01 AM,12/08/2019 01:30 PM,RFP,,No,,,,8,3
Aramco_4202857488,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPd%21xpqz&awcharset=UTF-8,"Muhaisin, Hind",12/04/2019 09:01 AM,11/19/2019 01:45 PM,RFP,,No,,,,3,10
Aramco_4202790559,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPUxFiCa&awcharset=UTF-8,"Muhaisin, Hind",05/05/2019 04:00 PM,05/12/2019 06:30 PM,RFP,,No,,,,,
Aramco_4202791251,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPUsQHUC&awcharset=UTF-8,"Muhaisin, Hind",05/05/2019 04:00 PM,05/06/2019 06:30 PM,RFP,,No,,,,,
Aramco_4202875540,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPc8V35J&awcharset=UTF-8,"Hashim, Hussam",11/05/2019 10:05 AM,11/04/2019 04:00 PM,RFP,,No,,,,,
Aramco_4202891077,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPebhi1x&awcharset=UTF-8,"Hashim, Hussam",12/05/2019 02:56 PM,12/09/2019 01:30 PM,RFP,,No,,,,,
Aramco_4202883247,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPeYoISE&awcharset=UTF-8,"Adab, Abdulmohsen",12/05/2019 03:26 PM,11/14/2019 01:30 PM,RFP,,No,,,,,
SEC RFP-C00143716,SEC RFP-C00143716,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPUyGz7v&awcharset=UTF-8,"Muhaisin, Hind",05/06/2019 02:45 PM,01/30/2024 12:45 PM,RFP,,No,,,,,
