Material,Material Description,Sales department Email,Technical Department Email,
908101001,"CNDCTR, BR, ACSR, QUAIL (2/0 AWG), 6AL, 1ALWLD, 67.44MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
905890616,"CNDCTR, BR, ACSR, Merlin (336.4MCM), 18AL, 1ALWLD, 170MM2",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,905782685
905849994,"COVER,CONDUCTOR,36KV,75M LG",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,908101102
905902283,"CABLE, PWR, 600V/1KV, CU, 1C, 35MM2, XLPE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,908111001
908111002,"CABLE, PWR, 600V/1KV, CU, 1C, 120MM2, XLPE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908111003,"CABLE, PWR, 600V/1KV, CU, 1C, 185MM2, XLPE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908111004,"CABLE, PWR, 600V/1KV, CU, 1C, 630MM2, XLPE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908111005,"CABLE, PWR, 600V/1KV, AL, 4C, 70MM2, XLPE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908111006,"CABLE, PWR, 600V/1KV, AL, 4C, 185MM2, XLPE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908111007,"CABLE, PWR, 600V/1KV, AL, 4C, 300MM2, XLPE",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908111010,"CABLE, CNTRL, 750V, CU, 12CORE, 2.5SQMM, PVC",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908111011,"CABLE, CNTRL, 750V, CU, 2CORE, 2.5SQMM, PVC",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908111101,"CNDCTR, BR, CU, 35SQMM, 7STR, SOFT DRWN",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908111102,"CNDCTR, BR, CU, 70SQMM, 19STR, SOFT DRWN ",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
908112120,"CABLE, PWR, 600V/1KV, QUADRUPLEX, 3X120MM2 AL + 1X120MM2 ACSR/AW",shubham.kumbhar@dynatechconsultancy.com,manish.soni@dynatechconsultancy.com,
