Company_Name,RFP_ID,End_Time,Event_Type,Participated,Doc_ID
Saudi Electricity Company,SEC RFP-C001727147,01/14/2026 12:45 PM,RFP,Declined,Doc238957479
Saudi Electricity Company,SEC RFP- C001721455,01/13/2026 12:45 PM,RFP,Declined,Doc236962047
Saudi Electricity Company,SEC RFP- C001721454,01/13/2026 12:45 PM,RFP,Declined,Doc236962001
Saudi Electricity Company,SEC RFP- C001663863 - 6001663863,08/27/2025 01:45 PM,RFP,Yes,Doc213173360
Saudi Electricity Company,SEC RFPC001614554,04/23/2025 01:45 PM,RFP,Declined,Doc194710800
Saudi Electricity Company,SEC RFP-C001527809,10/19/2024 01:45 PM,RFP,Declined,Doc170057880
Saudi Electricity Company,SEC RFP - C001524050,2024-06-10 13:45:00,RFP,Declined,Doc168774142
Saudi Electricity Company,SEC RFP-C001525113,2024-02-10 13:45:00,RFP,Declined,Doc168631924
Saudi Electricity Company,SEC RFP-C001521052,09/30/2024 04:45 AM,RFP,Declined,Doc167340264
Saudi Electricity Company,SEC RFP-C001521048,09/29/2024 01:45 PM,RFP,Declined,Doc167574094
Saudi Electricity Company,SEC RFP-C001493167,07/16/2024 01:45 PM,RFP,Declined,Doc157510876
